"CD","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2130611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130613,557,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,3
2130701,700,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,2
2130702,1070,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,2
2130703,839,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,2
2130704,713,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,1
2130705,778,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2
2130706,563,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,1
2130707,1052,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,1
2130708,913,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,2
2130709,571,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130710,1140,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2130711,946,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130712,889,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,2
2130713,964,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2130714,564,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,2
2130715,465,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2130716,590,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2130717,541,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,3
2130718,704,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,2
2130719,463,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2130720,310,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2130721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130722,572,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,1
2130723,856,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130724,628,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,1
2130725,602,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,2
2130801,345,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,1
2130802,824,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130803,506,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130804,553,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,1
2130805,599,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,2
2130806,335,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130807,830,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130808,898,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130809,478,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2130810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130901,309,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,2
2130902,212,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,1
2130903,587,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,1
2130904,669,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,1
2130905,566,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,1
2130906,505,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1
2130907,538,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,1
2130908,613,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2130909,587,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130910,428,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
2130911,514,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,1
2130912,635,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130913,717,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,1
2130914,557,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,2
2131001,664,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
