"SA1","Total population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
1104035,303,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1104036,330,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104037,285,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104038,324,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104039,612,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104040,376,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104041,285,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104042,353,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104043,530,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1104044,301,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104045,460,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104046,451,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104047,445,NA,1,NA,1,NA,3,NA,1,NA,2,NA,1
1104048,472,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104049,434,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1104050,362,NA,1,NA,1,NA,2,NA,1,NA,1,NA,2
1104051,441,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104052,373,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1104053,510,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104054,339,NA,1,NA,2,NA,2,NA,1,NA,3,NA,3
1104055,541,NA,1,NA,1,NA,1,NA,1,NA,3,NA,1
1104056,391,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1104057,600,NA,2,NA,1,NA,3,NA,1,NA,3,NA,2
1104058,336,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104101,448,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104102,621,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104103,387,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1104104,433,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1104105,354,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
1104106,396,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1104107,223,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1
1104108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104109,390,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
1104110,474,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104111,246,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1104112,430,NA,2,NA,1,NA,3,NA,1,NA,3,NA,2
1104113,342,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1104114,587,NA,3,NA,1,NA,3,NA,1,NA,3,NA,3
1104115,323,NA,1,NA,1,NA,2,NA,1,NA,2,NA,3
