"SA1","Total Persons","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
1103501,629,NA,3,NA,1,NA,2,NA,1,NA,2,NA,2
1103502,314,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103503,503,NA,1,NA,1,NA,1,NA,1,NA,2,NA,3
1103504,462,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103505,437,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103506,561,NA,3,NA,2,NA,1,NA,1,NA,3,NA,2
1103507,317,NA,1,NA,2,NA,2,NA,1,NA,1,NA,2
1103508,469,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103509,347,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1103510,469,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2
1103511,514,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103512,315,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103513,314,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103514,387,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103515,283,NA,1,NA,3,NA,1,NA,1,NA,1,NA,1
1103516,276,NA,1,NA,2,NA,2,NA,1,NA,2,NA,2
1103517,45,NA,1,NA,3,NA,1,NA,1,NA,1,NA,1
1103601,221,NA,1,NA,1,NA,1,NA,1,NA,2,NA,3
1103602,232,NA,1,NA,2,NA,2,NA,1,NA,2,NA,3
1103603,516,NA,1,NA,1,NA,1,NA,1,NA,2,NA,3
1103604,280,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103605,407,NA,1,NA,1,NA,2,NA,1,NA,2,NA,3
1103606,302,NA,1,NA,1,NA,1,NA,1,NA,2,NA,3
1103607,210,NA,1,NA,2,NA,1,NA,1,NA,3,NA,3
1103608,517,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103609,376,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103610,534,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103611,346,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103612,172,NA,1,NA,2,NA,1,NA,1,NA,1,NA,1
1103613,377,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103614,523,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103615,252,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103616,314,NA,1,NA,2,NA,2,NA,1,NA,2,NA,3
1103617,362,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1103618,257,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103619,497,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1103620,497,NA,2,NA,2,NA,3,NA,1,NA,2,NA,2
1103621,551,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103622,275,NA,1,NA,1,NA,1,NA,1,NA,3,NA,1
1103701,655,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103702,503,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103703,669,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103704,228,NA,1,NA,3,NA,1,NA,1,NA,3,NA,3
1103705,476,NA,1,NA,1,NA,1,NA,1,NA,2,NA,3
1103706,377,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103707,490,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3
1103708,232,NA,1,NA,2,NA,2,NA,1,NA,2,NA,2
1103709,635,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103710,378,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103711,321,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103712,279,NA,1,NA,3,NA,3,NA,1,NA,2,NA,2
1103713,518,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
1103714,439,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103801,451,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1103802,511,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103803,378,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103804,505,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103805,280,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103806,273,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103807,430,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103808,290,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103809,549,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103810,334,NA,1,NA,1,NA,3,NA,1,NA,3,NA,1
1103811,486,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103812,357,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1103813,547,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103814,499,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103815,332,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103816,431,NA,1,NA,1,NA,3,NA,1,NA,2,NA,3
1103817,339,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103901,655,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103902,391,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103903,314,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1103904,573,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103905,420,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103906,462,NA,2,NA,1,NA,3,NA,1,NA,2,NA,3
1103908,441,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103909,592,NA,2,NA,1,NA,3,NA,1,NA,3,NA,2
1103911,586,NA,3,NA,2,NA,3,NA,1,NA,3,NA,3
1103912,562,NA,2,NA,1,NA,3,NA,1,NA,3,NA,3
1103913,611,NA,2,NA,1,NA,3,NA,1,NA,3,NA,3
1103914,345,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103915,482,NA,2,NA,2,NA,3,NA,1,NA,2,NA,3
1103916,484,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
1103917,363,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1103918,539,NA,2,NA,1,NA,3,NA,1,NA,3,NA,3
1103919,408,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103920,610,NA,2,NA,1,NA,3,NA,1,NA,3,NA,2
1103921,583,NA,2,NA,1,NA,3,NA,1,NA,3,NA,3
1103922,538,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103923,310,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103924,209,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103925,444,NA,2,NA,1,NA,3,NA,1,NA,3,NA,3
1103926,629,NA,3,NA,1,NA,3,NA,1,NA,3,NA,3
1103927,465,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103928,432,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1103929,402,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1103930,169,NA,1,NA,3,NA,2,NA,1,NA,2,NA,3
1103931,306,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1104001,352,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104002,324,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104003,280,NA,1,NA,3,NA,2,NA,1,NA,1,NA,3
1104004,447,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104005,313,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1104006,493,NA,1,NA,1,NA,3,NA,1,NA,2,NA,1
1104007,338,NA,1,NA,1,NA,3,NA,1,NA,1,NA,2
1104008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104009,526,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104010,338,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104011,362,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104012,328,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1104013,577,NA,2,NA,1,NA,2,NA,1,NA,1,NA,1
1104014,513,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1104015,192,NA,1,NA,2,NA,3,NA,1,NA,1,NA,1
1104016,538,NA,2,NA,1,NA,3,NA,1,NA,3,NA,3
1104017,636,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104018,452,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1104019,486,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1104020,460,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104021,451,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104022,236,NA,1,NA,2,NA,3,NA,1,NA,1,NA,1
1104023,289,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104024,513,NA,2,NA,1,NA,3,NA,1,NA,2,NA,1
1104025,280,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1
1104026,623,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1104027,305,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1
1104028,382,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104029,432,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104030,403,NA,2,NA,2,NA,3,NA,1,NA,1,NA,1
1104031,343,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104032,229,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
