"SA1","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2111123,564,NA,3,NA,2,NA,3,NA,3,NA,2,NA,1
2111124,744,NA,3,NA,2,NA,3,NA,2,NA,1,NA,1
2111125,248,NA,1,NA,2,NA,3,NA,3,NA,2,NA,1
2111126,512,NA,3,NA,2,NA,2,NA,2,NA,3,NA,1
2111127,440,NA,1,NA,1,NA,2,NA,2,NA,3,NA,1
2111128,583,NA,3,NA,1,NA,2,NA,2,NA,3,NA,1
2111129,562,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2111130,589,NA,2,NA,1,NA,3,NA,3,NA,3,NA,1
2111131,352,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2111132,525,NA,2,NA,1,NA,1,NA,2,NA,3,NA,1
2111133,571,NA,2,NA,1,NA,3,NA,2,NA,2,NA,1
2111134,366,NA,1,NA,1,NA,3,NA,2,NA,2,NA,1
2111135,444,NA,2,NA,2,NA,3,NA,3,NA,3,NA,1
2111136,636,NA,2,NA,1,NA,2,NA,2,NA,3,NA,1
2111137,488,NA,3,NA,2,NA,1,NA,2,NA,3,NA,1
2111138,464,NA,2,NA,1,NA,1,NA,3,NA,3,NA,1
2111139,317,NA,1,NA,1,NA,1,NA,3,NA,3,NA,1
2111140,548,NA,3,NA,2,NA,1,NA,2,NA,3,NA,2
2111141,408,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2111142,335,NA,1,NA,1,NA,1,NA,3,NA,3,NA,1
2111143,547,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2111144,403,NA,2,NA,2,NA,1,NA,3,NA,3,NA,1
2111145,551,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2111146,555,NA,2,NA,1,NA,2,NA,3,NA,2,NA,1
2111147,332,NA,2,NA,3,NA,1,NA,2,NA,3,NA,1
2111148,619,NA,3,NA,2,NA,2,NA,2,NA,3,NA,1
2111149,388,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2111150,282,NA,2,NA,3,NA,3,NA,1,NA,1,NA,1
2111151,538,NA,1,NA,1,NA,3,NA,3,NA,2,NA,1
2111152,335,NA,1,NA,1,NA,3,NA,2,NA,2,NA,2
2111153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2111201,596,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2
2111202,542,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111203,414,NA,1,NA,1,NA,2,NA,2,NA,3,NA,2
2111204,343,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2111205,620,NA,3,NA,2,NA,3,NA,2,NA,3,NA,2
2111206,364,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2111207,546,NA,3,NA,2,NA,3,NA,3,NA,3,NA,1
2111208,382,NA,1,NA,1,NA,3,NA,2,NA,3,NA,2
2111209,532,NA,2,NA,2,NA,3,NA,2,NA,1,NA,1
2111210,534,NA,2,NA,1,NA,2,NA,2,NA,3,NA,3
2111211,285,NA,1,NA,2,NA,2,NA,2,NA,3,NA,2
2111212,430,NA,2,NA,2,NA,3,NA,2,NA,1,NA,1
2111213,417,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2111214,540,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2
2111215,383,NA,1,NA,2,NA,2,NA,2,NA,3,NA,2
2111216,424,NA,2,NA,2,NA,3,NA,2,NA,3,NA,2
2111217,370,NA,2,NA,3,NA,2,NA,2,NA,3,NA,1
2111218,313,NA,2,NA,3,NA,2,NA,2,NA,2,NA,3
2111219,548,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2111220,508,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2111221,522,NA,2,NA,1,NA,3,NA,2,NA,2,NA,1
2111222,302,NA,1,NA,3,NA,2,NA,2,NA,3,NA,2
2111223,537,NA,3,NA,2,NA,2,NA,2,NA,2,NA,1
2111224,500,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2
2111225,584,NA,3,NA,1,NA,1,NA,1,NA,3,NA,2
2111226,432,NA,2,NA,2,NA,1,NA,2,NA,3,NA,1
2111227,361,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2111228,499,NA,2,NA,1,NA,1,NA,2,NA,3,NA,1
2111229,487,NA,1,NA,1,NA,3,NA,2,NA,3,NA,1
2111230,518,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2111231,283,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2111232,486,NA,3,NA,2,NA,2,NA,2,NA,3,NA,1
2111233,413,NA,2,NA,2,NA,1,NA,2,NA,3,NA,2
2111234,416,NA,2,NA,2,NA,3,NA,2,NA,2,NA,2
2111235,586,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2111236,295,NA,1,NA,3,NA,1,NA,2,NA,2,NA,3
2111237,342,NA,1,NA,2,NA,3,NA,2,NA,2,NA,1
2111238,382,NA,2,NA,3,NA,2,NA,2,NA,3,NA,2
2111239,416,NA,1,NA,1,NA,3,NA,2,NA,2,NA,1
2111240,342,NA,1,NA,2,NA,3,NA,1,NA,1,NA,2
2111241,295,NA,1,NA,2,NA,2,NA,1,NA,3,NA,2
2111242,363,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2111301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2111302,407,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2111303,611,NA,2,NA,1,NA,2,NA,3,NA,3,NA,1
2111304,596,NA,2,NA,1,NA,2,NA,3,NA,3,NA,2
2111305,766,NA,3,NA,1,NA,3,NA,3,NA,3,NA,2
